SGMA_SITE_ID,EWM_ID,INFO_SITE_ID,EXISTING_SITE_ID,SUSTAINABILITY_INDICATOR,START_DT,MEASUREMENT_TYPE,VALUE_DT,DATA_VALUE
,50259,,,Groundwater Levels,2020-01-23 16:01:30,Minimum Threshold,,-38
,50259,,,Groundwater Levels,2020-01-23 16:01:30,5 Year Interim Milestone,2025-01-23 16:01:30,-18.5
,50259,,,Groundwater Levels,2020-01-23 16:01:30,10 Year Interim Milestone,2030-01-23 16:01:30,-18.2
,50259,,,Groundwater Levels,2020-01-23 16:01:30,15 Year Interim Milestone,2035-01-23 16:01:30,-17.8
,50259,,,Groundwater Levels,2020-01-23 16:01:30,Measurable Objective,2040-01-23 16:01:30,-17.4
,50612,,,Groundwater Levels,2020-01-23 16:01:30,Minimum Threshold,,-20
,50612,,,Groundwater Levels,2020-01-23 16:01:30,5 Year Interim Milestone,2025-01-23 16:01:30,-12.1
,50612,,,Groundwater Levels,2020-01-23 16:01:30,10 Year Interim Milestone,2030-01-23 16:01:30,-7.7
,50612,,,Groundwater Levels,2020-01-23 16:01:30,15 Year Interim Milestone,2035-01-23 16:01:30,-3.2
,50612,,,Groundwater Levels,2020-01-23 16:01:30,Measurable Objective,2040-01-23 16:01:30,1.2
,50262,,,Groundwater Levels,2020-01-23 16:01:30,Minimum Threshold,,19
,50262,,,Groundwater Levels,2020-01-23 16:01:30,5 Year Interim Milestone,2025-01-23 16:01:30,40.9
,50262,,,Groundwater Levels,2020-01-23 16:01:30,10 Year Interim Milestone,2030-01-23 16:01:30,43.3
,50262,,,Groundwater Levels,2020-01-23 16:01:30,15 Year Interim Milestone,2035-01-23 16:01:30,45.6
,50262,,,Groundwater Levels,2020-01-23 16:01:30,Measurable Objective,2040-01-23 16:01:30,48
,50601,,,Groundwater Levels,2020-01-23 16:01:30,Minimum Threshold,,-10
,50601,,,Groundwater Levels,2020-01-23 16:01:30,5 Year Interim Milestone,2025-01-23 16:01:30,-6.9
,50601,,,Groundwater Levels,2020-01-23 16:01:30,10 Year Interim Milestone,2030-01-23 16:01:30,-2.9
,50601,,,Groundwater Levels,2020-01-23 16:01:30,15 Year Interim Milestone,2035-01-23 16:01:30,1.1
,50601,,,Groundwater Levels,2020-01-23 16:01:30,Measurable Objective,2040-01-23 16:01:30,5
,54259,,,Groundwater Levels,2020-01-28 12:21:01,Minimum Threshold,,232.8
,54259,,,Groundwater Levels,2020-01-28 12:21:01,5 Year Interim Milestone,2025-01-28 12:21:01,280.37
,54259,,,Groundwater Levels,2020-01-28 12:21:01,10 Year Interim Milestone,2030-01-28 12:21:01,277.61
,54259,,,Groundwater Levels,2020-01-28 12:21:01,15 Year Interim Milestone,2035-01-28 12:21:01,275.77
,54259,,,Groundwater Levels,2020-01-28 12:21:01,Measurable Objective,2040-01-28 12:21:01,275.2
,16087,,,Groundwater Levels,2020-01-28 12:21:01,Minimum Threshold,,203.3
,16087,,,Groundwater Levels,2020-01-28 12:21:01,5 Year Interim Milestone,2025-01-28 12:21:01,248.61
,16087,,,Groundwater Levels,2020-01-28 12:21:01,10 Year Interim Milestone,2030-01-28 12:21:01,244.07
,16087,,,Groundwater Levels,2020-01-28 12:21:01,15 Year Interim Milestone,2035-01-28 12:21:01,241.05
,16087,,,Groundwater Levels,2020-01-28 12:21:01,Measurable Objective,2040-01-28 12:21:01,240.1
,16247,,,Groundwater Levels,2020-01-28 12:21:01,Minimum Threshold,,234.4
,16247,,,Groundwater Levels,2020-01-28 12:21:01,5 Year Interim Milestone,2025-01-28 12:21:01,269.11
,16247,,,Groundwater Levels,2020-01-28 12:21:01,10 Year Interim Milestone,2030-01-28 12:21:01,265.96
,16247,,,Groundwater Levels,2020-01-28 12:21:01,15 Year Interim Milestone,2035-01-28 12:21:01,263.86
,16247,,,Groundwater Levels,2020-01-28 12:21:01,Measurable Objective,2040-01-28 12:21:01,263.2
,35678,,,Groundwater Levels,2020-01-28 12:21:01,Minimum Threshold,,217.3
,35678,,,Groundwater Levels,2020-01-28 12:21:01,5 Year Interim Milestone,2025-01-28 12:21:01,255.9
,35678,,,Groundwater Levels,2020-01-28 12:21:01,10 Year Interim Milestone,2030-01-28 12:21:01,252.05
,35678,,,Groundwater Levels,2020-01-28 12:21:01,15 Year Interim Milestone,2035-01-28 12:21:01,249.49
,35678,,,Groundwater Levels,2020-01-28 12:21:01,Measurable Objective,2040-01-28 12:21:01,248.7
,21141,,,Groundwater Levels,2020-01-28 12:21:01,Minimum Threshold,,230.2
,21141,,,Groundwater Levels,2020-01-28 12:21:01,5 Year Interim Milestone,2025-01-28 12:21:01,265.28
,21141,,,Groundwater Levels,2020-01-28 12:21:01,10 Year Interim Milestone,2030-01-28 12:21:01,263.58
,21141,,,Groundwater Levels,2020-01-28 12:21:01,15 Year Interim Milestone,2035-01-28 12:21:01,262.44
,21141,,,Groundwater Levels,2020-01-28 12:21:01,Measurable Objective,2040-01-28 12:21:01,262.1
,54267,,,Groundwater Levels,2020-01-28 12:21:01,Minimum Threshold,,39
,54267,,,Groundwater Levels,2020-01-28 12:21:01,5 Year Interim Milestone,2025-01-28 12:21:01,97.21
,54267,,,Groundwater Levels,2020-01-28 12:21:01,10 Year Interim Milestone,2030-01-28 12:21:01,87.74
,54267,,,Groundwater Levels,2020-01-28 12:21:01,15 Year Interim Milestone,2035-01-28 12:21:01,81.43
,54267,,,Groundwater Levels,2020-01-28 12:21:01,Measurable Objective,2040-01-28 12:21:01,79.4
,33308,,,Groundwater Levels,2020-01-28 12:21:01,Minimum Threshold,,-9.3
,33308,,,Groundwater Levels,2020-01-28 12:21:01,5 Year Interim Milestone,2025-01-28 12:21:01,58.2
,33308,,,Groundwater Levels,2020-01-28 12:21:01,10 Year Interim Milestone,2030-01-28 12:21:01,46.41
,33308,,,Groundwater Levels,2020-01-28 12:21:01,15 Year Interim Milestone,2035-01-28 12:21:01,38.56
,33308,,,Groundwater Levels,2020-01-28 12:21:01,Measurable Objective,2040-01-28 12:21:01,36.1
,51314,,,Groundwater Levels,2020-01-29 14:29:12,Minimum Threshold,,60.7
,51314,,,Groundwater Levels,2020-01-29 14:29:12,5 Year Interim Milestone,2025-01-29 14:29:12,79.7
,51314,,,Groundwater Levels,2020-01-29 14:29:12,10 Year Interim Milestone,2030-01-29 14:29:12,79.7
,51314,,,Groundwater Levels,2020-01-29 14:29:12,15 Year Interim Milestone,2035-01-29 14:29:12,79.7
,51314,,,Groundwater Levels,2020-01-29 14:29:12,Measurable Objective,2040-01-29 14:29:12,79.7
,50971,,,Groundwater Levels,2020-01-31 16:30:14,Minimum Threshold,,-95
,50971,,,Groundwater Levels,2020-01-31 16:30:14,5 Year Interim Milestone,2025-01-31 16:30:14,359
,50971,,,Groundwater Levels,2020-01-31 16:30:14,10 Year Interim Milestone,2030-01-31 16:30:14,368
,50971,,,Groundwater Levels,2020-01-31 16:30:14,15 Year Interim Milestone,2035-01-31 16:30:14,386
,50971,,,Groundwater Levels,2020-01-31 16:30:14,Measurable Objective,2040-01-31 16:30:14,15
,35657,,,Groundwater Levels,2020-01-28 12:21:01,Minimum Threshold,,141.1
,35657,,,Groundwater Levels,2020-01-28 12:21:01,5 Year Interim Milestone,2025-01-28 12:21:01,187.23
,35657,,,Groundwater Levels,2020-01-28 12:21:01,10 Year Interim Milestone,2030-01-28 12:21:01,181.75
,35657,,,Groundwater Levels,2020-01-28 12:21:01,15 Year Interim Milestone,2035-01-28 12:21:01,178.09
,35657,,,Groundwater Levels,2020-01-28 12:21:01,Measurable Objective,2040-01-28 12:21:01,176.9
,18128,,,Groundwater Levels,2020-01-28 12:21:01,Minimum Threshold,,158
,18128,,,Groundwater Levels,2020-01-28 12:21:01,5 Year Interim Milestone,2025-01-28 12:21:01,213.81
,18128,,,Groundwater Levels,2020-01-28 12:21:01,10 Year Interim Milestone,2030-01-28 12:21:01,204.05
,18128,,,Groundwater Levels,2020-01-28 12:21:01,15 Year Interim Milestone,2035-01-28 12:21:01,197.55
,18128,,,Groundwater Levels,2020-01-28 12:21:01,Measurable Objective,2040-01-28 12:21:01,195.5
,54263,,,Groundwater Levels,2020-01-28 12:21:01,Minimum Threshold,,110.8
,54263,,,Groundwater Levels,2020-01-28 12:21:01,5 Year Interim Milestone,2025-01-28 12:21:01,145.04
,54263,,,Groundwater Levels,2020-01-28 12:21:01,10 Year Interim Milestone,2030-01-28 12:21:01,139.07
,54263,,,Groundwater Levels,2020-01-28 12:21:01,15 Year Interim Milestone,2035-01-28 12:21:01,135.08
,54263,,,Groundwater Levels,2020-01-28 12:21:01,Measurable Objective,2040-01-28 12:21:01,133.8
,13691,,,Groundwater Levels,2020-01-28 12:21:01,Minimum Threshold,,40
,13691,,,Groundwater Levels,2020-01-28 12:21:01,5 Year Interim Milestone,2025-01-28 12:21:01,69.76
,13691,,,Groundwater Levels,2020-01-28 12:21:01,10 Year Interim Milestone,2030-01-28 12:21:01,67.38
,13691,,,Groundwater Levels,2020-01-28 12:21:01,15 Year Interim Milestone,2035-01-28 12:21:01,65.79
,13691,,,Groundwater Levels,2020-01-28 12:21:01,Measurable Objective,2040-01-28 12:21:01,65.3
,15760,,,Groundwater Levels,2020-01-28 12:21:01,Minimum Threshold,,-61
,15760,,,Groundwater Levels,2020-01-28 12:21:01,5 Year Interim Milestone,2025-01-28 12:21:01,2.12
,15760,,,Groundwater Levels,2020-01-28 12:21:01,10 Year Interim Milestone,2030-01-28 12:21:01,-8.9
,15760,,,Groundwater Levels,2020-01-28 12:21:01,15 Year Interim Milestone,2035-01-28 12:21:01,-16.24
,15760,,,Groundwater Levels,2020-01-28 12:21:01,Measurable Objective,2040-01-28 12:21:01,-18.5
,13246,,,Groundwater Levels,2020-01-28 12:21:01,Minimum Threshold,,424.8
,13246,,,Groundwater Levels,2020-01-28 12:21:01,5 Year Interim Milestone,2025-01-28 12:21:01,443.14
,13246,,,Groundwater Levels,2020-01-28 12:21:01,10 Year Interim Milestone,2030-01-28 12:21:01,439.94
,13246,,,Groundwater Levels,2020-01-28 12:21:01,15 Year Interim Milestone,2035-01-28 12:21:01,437.8
,13246,,,Groundwater Levels,2020-01-28 12:21:01,Measurable Objective,2040-01-28 12:21:01,437.1
