site_code,region_office,basin_subbasin_name,well_name,swn,stn_id,wcr_no,first_msmt_date,last_msmt_date,msmt_count
333250N1163678W002,SRO,BORREGO VALLEY - BORREGO SPRINGS,BWD-01B / MW-6D,10S06E08A002S,60384,WCR2023-004573,,,0
333250N1163678W001,SRO,BORREGO VALLEY - BORREGO SPRINGS,BWD-01A / MW-6S,10S06E08A003S,60383,WCR2023-004574,,,0
334416N1161083W001,SRO,COACHELLA VALLEY - INDIO,LCV - 8SE,08S08E25P001S,51668,WCR2003-016052,9/8/2004 13:50:00,12/2/2025 12:40:00,92
334852N1161560W001,SRO,COACHELLA VALLEY - INDIO,LCV - 8d,08S08E09P002S,51664,WCR2004-016512,9/8/2004 16:31:00,12/2/2025 13:31:00,84
334852N1161560W002,SRO,COACHELLA VALLEY - INDIO,LCV - 8s,08S08E09P003S,51665,WCR2004-016512,9/8/2004 16:44:00,12/2/2025 12:26:00,87
334889N1161645W001,SRO,COACHELLA VALLEY - INDIO,LCV - 8Nd,08S08E09M001S,51666,e038073,9/8/2004 15:28:00,8/26/2020 0:00:00,59
334889N1161645W002,SRO,COACHELLA VALLEY - INDIO,LCV - 8Ns,08S08E09M002S,51667,e038073,9/8/2004 15:35:00,8/26/2020 0:00:00,60
335703N1159888W001,SRO,COACHELLA VALLEY - INDIO,LCV - 9d,07S10E07N001S,51669,WCR2004-016513,9/8/2004 11:55:00,12/2/2025 10:48:00,90
335703N1159888W002,SRO,COACHELLA VALLEY - INDIO,LCV - 9s,07S10E07N002S,51670,WCR2004-016513,9/8/2004 11:45:00,12/2/2025 10:53:00,93
335745N1161600W001,SRO,COACHELLA VALLEY - INDIO,LCV - 1,07S08E09M004S,51659,WCR2004-016510,9/8/2004 17:38:00,12/2/2025 13:56:00,102
335968N1160270W001,SRO,COACHELLA VALLEY - INDIO,LCV - 5,07S09E03A001S,51663,WCR2004-016511,9/8/2004 9:58:00,12/2/2025 11:15:00,96
336482N1162008W001,SRO,COACHELLA VALLEY - INDIO,LCV - 2s,06S07E13J004S,51661,WCR2004-016508,4/28/2004 0:00:00,12/2/2025 10:05:00,92
336482N1162006W001,SRO,COACHELLA VALLEY - INDIO,LCV - 2d,06S07E13J003S,51660,WCR2004-016509,4/28/2004 0:00:00,12/2/2025 10:00:00,99
336851N1162558W001,SRO,COACHELLA VALLEY - INDIO,CVWD G9,06S07E04B002S,61383,WCR2024-006636,,,0
337323N1163918W001,SRO,COACHELLA VALLEY - INDIO,05S06E18R001S,05S06E18R001S,47723,3301695,9/22/2009 8:46:00,12/2/2025 9:05:00,99
337775N1163545W001,SRO,COACHELLA VALLEY - INDIO,LCV - 3,04S06E33J001S,51662,WCR2004-016507,9/8/2004 19:42:00,12/2/2025 9:25:00,99
338304N1164896W001,SRO,COACHELLA VALLEY - INDIO,DWA G6,04S05E08N001S,61382,WCR2024-006746,,,0
341217N1181338W001,SRO,RAYMOND,Ritz-Carlton,01N12W34N001S,48951,WCR1951-001717,4/14/2011 0:00:00,10/8/2025 0:00:00,31
341246N1181277W001,SRO,RAYMOND,Lady Crocker,01N12W34L001S,48948,WCR1919-000153,4/14/2011 0:00:00,10/8/2025 0:00:00,31
341280N1181195W001,SRO,RAYMOND,Canyon,01N12W34H001S,48949,WCR1926-000064,4/14/2011 0:00:00,10/8/2025 0:00:00,31
341323N1181110W001,SRO,RAYMOND,Buddy Moss,01N12W35C002S,60127,WCR0321732,10/15/2009 0:00:00,10/11/2023 10:22:00,29
341428N1180533W001,SRO,RAYMOND,No. 7,01N11W29G001S,48963,WCR1916-000013,4/14/2011 0:00:00,10/8/2025 0:00:00,31
341484N1180429W001,SRO,RAYMOND,Chelsea,01N11W28C002S,48947,WCR2005-016397,4/1/2011 0:00:00,10/7/2025 0:00:00,31
341691N1180891W001,SRO,RAYMOND,C-42 (Wilcox),01N12W13K001S,60126,WCR1924-000297,8/17/1993 0:00:00,10/11/2023 8:00:00,62
341744N1180975W001,SRO,RAYMOND,K-3,01N12W13E003S,60125,WCR1965-001428,4/24/1990 0:00:00,10/11/2023 7:40:00,67
341789N1180831W001,SRO,RAYMOND,C-40C (Brown),01N11W07N002S,60122,WCR1922-000159,4/21/1995 0:00:00,10/11/2023 8:20:00,60
341802N1181173W001,SRO,RAYMOND,4081-D,01N12W11N003S,60124,WCR1972-002972,4/21/1995 0:00:00,10/11/2023 0:00:00,53
341803N1181174W001,SRO,RAYMOND,4081-C,01N12W11N004S,48964,WCR1972-002973,4/14/2011 0:00:00,10/8/2025 0:00:00,31
341877N1181494W001,SRO,RAYMOND,C-11 2-3,01N12W09E001S,60123,WCR1922-000161,10/26/1995 0:00:00,10/10/2023 8:20:00,57
341970N1181959W001,SRO,RAYMOND,D-13F,01N13W01N001S,48968,WCR1969-001612,4/13/2011 0:00:00,10/7/2025 0:00:00,31
342003N1182036W001,SRO,RAYMOND,D-6F,01N13W01E001S,48967,WCR1969-001610,4/13/2011 0:00:00,10/7/2025 0:00:00,31
342055N1181947W001,SRO,RAYMOND,F-3LC,01N13W01B001S,48969,,4/13/2011 0:00:00,10/7/2025 0:00:00,31
342214N1182228W001,SRO,SAN FERNANDO VALLEY,5077-D,02N13W34A003S,48966,,4/13/2011 0:00:00,10/7/2025 0:00:00,31
342226N1182302W001,SRO,SAN FERNANDO VALLEY,5077-C,02N13W34B002S,48965,WCR1776-005831,4/13/2011 0:00:00,10/7/2025 0:00:00,31
348654N1194958W003,SRO,CUYAMA VALLEY,903,09N24W18E004S,58992,WCR2022-001176,,,0
348654N1194958W002,SRO,CUYAMA VALLEY,904,09N24W18E003S,58991,WCR2022-001176,,,0
348654N1194958W001,SRO,CUYAMA VALLEY,905,09N24W18E002S,58990,WCR2022-001176,,,0
349427N1196916W001,SRO,CUYAMA VALLEY,908,10N26W17N002S,58993,WCR2022-001169,,,0
349427N1196916W003,SRO,CUYAMA VALLEY,906,10N26W17N004S,58995,WCR2022-001169,,,0
349427N1196916W002,SRO,CUYAMA VALLEY,907,10N26W17N003S,58994,WCR2022-001169,,,0
350028N1198118W001,SRO,CUYAMA VALLEY,902,,58999,WCR2022-001153,,,0
350028N1198118W002,SRO,CUYAMA VALLEY,901,,59000,WCR2022-001153,,,0
350028N1198118W003,SRO,CUYAMA VALLEY,900,,59001,WCR2022-001158,,,0
350128N1189084W001,SCRO,SAN JOAQUIN VALLEY - WHITE WOLF,B1,11N19W28G001S,30731,,5/4/1953 0:00:00,10/1/2025 11:07:00,115
350308N1188465W001,SCRO,SAN JOAQUIN VALLEY - WHITE WOLF,RMW-WWB-004,11N18W19D001S,10720,74109,9/24/1958 0:00:00,10/21/2025 12:00:00,118
350322N1188766W001,SCRO,SAN JOAQUIN VALLEY - WHITE WOLF,11N19W14Q001S,11N19W14Q001S,11421,,9/28/1960 0:00:00,10/2/2025 10:22:00,129
350314N1188806W001,SCRO,SAN JOAQUIN VALLEY - WHITE WOLF,11N19W14N001S,11N19W14N001S,30720,,9/27/1974 0:00:00,10/2/2025 10:34:00,77
350342N1188465W001,SCRO,SAN JOAQUIN VALLEY - WHITE WOLF,11N18W18N001S,11N18W18N001S,31449,,1/26/1965 0:00:00,10/2/2025 9:50:00,95
350344N1188998W001,SCRO,SAN JOAQUIN VALLEY - WHITE WOLF,11N19W15N001S,11N19W15N001S,30721,,2/12/1987 0:00:00,10/2/2025 10:44:00,104
350347N1188423W001,SCRO,SAN JOAQUIN VALLEY - WHITE WOLF,11N18W18L001S,11N18W18L001S,10719,,3/10/1975 0:00:00,10/2/2025 9:43:00,86
350372N1189687W001,SCRO,SAN JOAQUIN VALLEY - WHITE WOLF,11N20W13L001S,11N20W13L001S,12137,,12/1/1981 0:00:00,10/1/2025 10:02:00,76
